cnpj;dt_abertura;matriz.empresaMatriz;cd_cnae_principal;de_cnae_principal;de_ramo_atividade;de_setor;endereco_cep;endereco_municipio;endereco_uf;endereco_regiao;endereco_mesorregiao;situacao_cadastral
09112307000159;2007-09-27;true;5811500;EDICAO DE LIVROS;TELECOM;SERVICOS;84035610;PONTA GROSSA;PR;SUL;CENTRO ORIENTAL PARANAENSE;ATIVA
35334430000124;2019-10-29;true;4722901;COMERCIO VAREJISTA DE CARNES ACOUGUES;VAREJO;COMERCIO;30624220;BELO HORIZONTE;MG;SUDESTE;METROPOLITANA DE BELO HORIZONTE;ATIVA
41363373000104;2021-03-26;true;4781400;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;VAREJO;COMERCIO;78850000;PRIMAVERA DO LESTE;MT;CENTRO-OESTE;SUDESTE MATO GROSSENSE;ATIVA
90752395000171;1979-08-21;true;4120400;CONSTRUCAO DE EDIFICIOS;INDUSTRIA DA CONSTRUCAO;CONSTRUCAO CIVIL;90810180;PORTO ALEGRE;RS;SUL;METROPOLITANA DE PORTO ALEGRE;ATIVA
20431213000185;2014-06-06;true;4757100;COMERCIO VAREJISTA ESPECIALIZADO DE PECAS E ACESSORIOS PARA APARELHOS ELETROELETRONICOS PARA USO DOMESTICO EXCETO INFORMATICA E COMUNICACAO DISPENSADA;VAREJO;COMERCIO;64002478;TERESINA;PI;NORDESTE;CENTRO NORTE PIAUIENSE;ATIVA
48284977000104;2022-10-14;true;8599604;TREINAMENTO EM DESENVOLVIMENTO PROFISSIONAL E GERENCIAL;SERVICOS DE EDUCACAO;SERVICOS;16480025;GUAIMBE;SP;SUDESTE;BAURU;ATIVA
31535760000127;2018-09-18;true;4921302;TRANSPORTE RODOVIARIO COLETIVO DE PASSAGEIROS COM ITINERARIO FIXO INTERMUNICIPAL EM REGIAO METROPOLITANA;TRANSPORTE;SERVICOS;57990000;MESSIAS;AL;NORDESTE;LESTE ALAGOANO;ATIVA
33618937000184;2019-05-14;true;8690901;ATIVIDADES DE PRATICAS INTEGRATIVAS E COMPLEMENTARES EM SAUDE HUMANA;SERVICOS DE SAUDE;SERVICOS;88865000;NOVA VENEZA;SC;SUL;SUL CATARINENSE;ATIVA
31498366000166;2018-09-13;true;9602501;CABELEIREIROS MANICURE E PEDICURE;SERVICOS DIVERSOS;SERVICOS;09721000;SAO BERNARDO DO CAMPO;SP;SUDESTE;METROPOLITANA DE SAO PAULO;ATIVA
41587680000179;2021-04-15;true;8630502;ATIVIDADE MEDICA AMBULATORIAL COM RECURSOS PARA REALIZACAO DE EXAMES COMPLEMENTARES;SERVICOS DE SAUDE;SERVICOS;58700340;PATOS;PB;NORDESTE;SERTAO PARAIBANO;ATIVA
92665611052720;2020-10-06;false;4771701;COMERCIO VAREJISTA DE PRODUTOS FARMACEUTICOS SEM MANIPULACAO DE FORMULAS;VAREJO;COMERCIO;95625970;IMBE;RS;SUL;METROPOLITANA DE PORTO ALEGRE;ATIVA
20359566000200;2016-08-10;false;5229002;SERVICOS DE REBOQUE DE VEICULOS;TRANSPORTE;SERVICOS;38407180;UBERLANDIA;MG;SUDESTE;TRIANGULO MINEIRO ALTO PARANAIBA;ATIVA
13200536000100;2011-02-03;true;4772500;COMERCIO VAREJISTA DE COSMETICOS PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL;VAREJO;COMERCIO;18053364;SOROCABA;SP;SUDESTE;MACRO METROPOLITANA PAULISTA;ATIVA
45837890000129;2022-03-30;true;1091102;FABRICACAO DE PRODUTOS DE PADARIA E CONFEITARIA COM PREDOMINANCIA DE PRODUCAO PROPRIA;BENS DE CONSUMO;INDUSTRIA;28623340;NOVA FRIBURGO;RJ;SUDESTE;CENTRO FLUMINENSE;ATIVA
39653081000164;2020-11-03;true;5611205;BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS COM ENTRETENIMENTO;SERVICOS DE ALOJAMENTO/ALIMENTACAO;SERVICOS;64490000;REGENERACAO;PI;NORDESTE;CENTRO NORTE PIAUIENSE;ATIVA
29201830000169;2017-12-04;true;4781400;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;VAREJO;COMERCIO;94470000;VIAMAO;RS;SUL;METROPOLITANA DE PORTO ALEGRE;ATIVA
30821369000126;2018-06-29;true;4930202;TRANSPORTE RODOVIARIO DE CARGA EXCETO PRODUTOS PERIGOSOS E MUDANCAS INTERMUNICIPAL INTERESTADUAL E INTERNACIONAL;TRANSPORTE;SERVICOS;21250540;RIO DE JANEIRO;RJ;SUDESTE;METROPOLITANA DO RIO DE JANEIRO;ATIVA
43020080000150;1971-06-24;true;1093701;FABRICACAO DE PRODUTOS DERIVADOS DO CACAU E DE CHOCOLATES;BENS DE CONSUMO;INDUSTRIA;05503000;SAO PAULO;SP;SUDESTE;METROPOLITANA DE SAO PAULO;ATIVA
11189217000299;2018-10-09;false;4781400;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;VAREJO;COMERCIO;64000090;TERESINA;PI;NORDESTE;CENTRO NORTE PIAUIENSE;ATIVA
06114637000195;2004-01-02;true;8630504;ATIVIDADE ODONTOLOGICA;SERVICOS DE SAUDE;SERVICOS;02542080;SAO PAULO;SP;SUDESTE;METROPOLITANA DE SAO PAULO;ATIVA
04874016000184;2002-01-29;true;4754701;COMERCIO VAREJISTA DE MOVEIS;VAREJO;COMERCIO;29146070;CARIACICA;ES;SUDESTE;CENTRAL ESPIRITO SANTENSE;ATIVA
48158896000168;2022-10-03;true;4399103;OBRAS DE ALVENARIA;INDUSTRIA DA CONSTRUCAO;CONSTRUCAO CIVIL;35560000;SANTO ANTONIO DO MONTE;MG;SUDESTE;OESTE DE MINAS;ATIVA
39742048000100;2020-11-11;true;5620104;FORNECIMENTO DE ALIMENTOS PREPARADOS PREPONDERANTEMENTE PARA CONSUMO DOMICILIAR;SERVICOS DE ALOJAMENTO/ALIMENTACAO;SERVICOS;13082080;CAMPINAS;SP;SUDESTE;CAMPINAS;ATIVA
03094781000119;1999-01-22;true;6920602;ATIVIDADES DE CONSULTORIA E AUDITORIA CONTABIL E TRIBUTARIA;SERVICOS PROFISSIONAIS E TECNICOS;SERVICOS;91720600;PORTO ALEGRE;RS;SUL;METROPOLITANA DE PORTO ALEGRE;ATIVA
